pressmark,record_url,digitization_type,digitization_url
latin 1,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc8447n,colorized,https://gallica.bnf.fr/ark:/12148/btv1b8455903b
latin 2,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc8448v,colorized,https://gallica.bnf.fr/ark:/12148/btv1b8452767n
latin 3,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc84492,colorized,https://gallica.bnf.fr/ark:/12148/btv1b8426789n
latin 4,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc8450c,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10884785x
latin 5,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc61942r,none,none
latin 6,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc620519,none,none
latin 7,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc62155f,colorized,https://gallica.bnf.fr/ark:/12148/btv1b8553005p
latin 8,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc622573,none,none
latin 9,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc57468g,colorized,https://gallica.bnf.fr/ark:/12148/btv1b8426006z
latin 10,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc589070,colorized,http://gallica.bnf.fr/ark:/12148/btv1b10543450w
latin 11,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc59021j,colorized,https://gallica.bnf.fr/ark:/12148/btv1b8455938j
latin 12,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc59135w,none,none
latin 13,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc59246h,none,none
latin 14,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc59360n,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100357558
latin 15,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc59463j,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10038843c
latin 16,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc59554r,none,none
latin 17,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc59662n,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9066562n
